CurrentQueue,0_Data,0_Weight,1_Data,1_Weight,2_Data,2_Weight,3_Data,3_Weight,TotalQueue,feedback,threshold,kappa
0,0,0,0,0,0,0,0,0,39439,100,10,0.2
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
1,39,0,0,0,0,0,0,0,,,,
0,30,0,0,0,0,0,0,0,,,,
0,29,0,0,0,0,0,0,0,,,,
0,36,0,0,0,0,0,0,0,,,,
0,22,0,0,0,0,0,0,0,,,,
1,24,0,0,0,0,0,0,0,,,,
0,19,0,0,0,0,0,0,0,,,,
0,33,0,0,0,0,0,0,0,,,,
0,27,0,0,0,1,0,0,0,,,,
1,25,0,0,0,0,0,0,0,,,,
0,33,0,0,0,0,0,0,0,,,,
0,23,0,0,0,0,0,0,0,,,,
0,36,0,1,0,0,0,0,0,,,,
0,38,0,0,0,0,0,0,0,,,,
1,33,0,0,0,4,0,0,0,,,,
0,35,0,0,0,0,0,0,0,,,,
0,35,0,0,0,0,0,0,0,,,,
0,17,0,0,0,0,0,0,0,,,,
0,30,0,0,0,0,0,0,0,,,,
0,31,0,0,0,0,0,0,0,,,,
0,32,0,0,0,0,0,0,0,,,,
1,32,0,0,0,0,0,0,0,,,,
0,31,0,0,0,0,0,1,0,,,,
0,22,0,0,0,0,0,0,0,,,,
0,25,0,0,0,0,0,0,0,,,,
0,40,0,0,0,0,0,0,0,,,,
0,34,0,0,0,0,0,0,0,,,,
0,27,0,0,0,0,0,0,0,,,,
0,24,0,0,0,0,0,0,0,,,,
0,31,0,0,0,0,0,0,0,,,,
0,11,0,0,0,0,0,0,0,,,,
0,30,0,0,0,0,0,0,0,,,,
0,28,0,0,0,0,0,0,0,,,,
0,21,0,1,0,0,0,1,0,,,,
0,21,0,0,0,0,0,0,0,,,,
0,32,0,1,0,0,0,0,0,,,,
0,28,0,0,0,0,0,0,0,,,,
0,37,0,2,0,0,0,0,0,,,,
0,29,0,0,0,0,0,0,0,,,,
0,33,0,0,0,0,0,0,0,,,,
0,18,0,0,0,0,0,0,0,,,,
0,30,0,0,0,0,0,0,0,,,,
0,20,0,0,0,0,0,0,0,,,,
0,27,0,0,0,0,0,0,0,,,,
0,30,0,0,0,0,0,0,0,,,,
0,39,0,0,0,0,0,0,0,,,,
0,23,0,0,0,0,0,0,0,,,,
0,38,0,0,0,0,0,0,0,,,,
0,23,0,0,0,0,0,0,0,,,,
0,29,0,0,0,0,0,0,0,,,,
0,24,0,0,0,0,0,0,0,,,,
0,24,0,0,0,0,0,0,0,,,,
0,30,0,0,0,0,0,0,0,,,,
0,27,0,0,0,0,0,0,0,,,,
0,34,0,0,0,0,0,0,0,,,,
0,26,0,0,0,0,0,0,0,,,,
0,31,0,0,0,0,0,0,0,,,,
0,29,0,0,0,1,0,0,0,,,,
0,31,0,0,0,0,0,0,0,,,,
0,30,0,0,0,0,0,0,0,,,,
0,0,0,0,0,0,0,0,0,,,,
